Molecular Weight,LogP,Ring Count,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticRings,TPSA,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumValenceElectrons,NumRotatableBonds,NumRadicalElectrons,activity
500.135778028,4.103300000000003,3.0,0.0,0.0,3.0,68.87,3.0,6.0,4.0,3.0,164.0,12.0,0.0,1
286.08412354800004,2.812900000000001,3.0,0.0,1.0,2.0,75.99000000000001,2.0,5.0,5.0,2.0,108.0,2.0,0.0,1
262.08412354800004,2.918140000000001,2.0,0.0,0.0,2.0,90.15,4.0,5.0,5.0,4.0,100.0,2.0,0.0,1
432.214803364,4.823000000000005,3.0,0.0,1.0,2.0,64.61000000000001,0.0,7.0,7.0,0.0,170.0,8.0,0.0,1
518.1212969039999,4.601000000000006,6.0,0.0,2.0,4.0,173.98,6.0,10.0,10.0,6.0,194.0,1.0,0.0,1
300.027002596,1.277,3.0,1.0,0.0,2.0,132.13,4.0,7.0,6.0,4.0,110.0,1.0,0.0,1
338.172938552,2.28662,1.0,0.0,0.0,1.0,93.06000000000002,2.0,6.0,6.0,2.0,134.0,7.0,0.0,1
270.089208928,3.0025000000000013,2.0,0.0,0.0,2.0,66.76,2.0,4.0,4.0,2.0,102.0,4.0,0.0,1
340.13107374,4.018600000000004,3.0,0.0,1.0,2.0,86.99,3.0,5.0,5.0,3.0,130.0,3.0,0.0,1
434.149616264,3.5962000000000023,3.0,1.0,2.0,0.0,89.9,1.0,6.0,6.0,1.0,162.0,6.0,0.0,1
334.12050905599995,4.652800000000004,4.0,0.0,1.0,3.0,48.67,0.0,4.0,4.0,0.0,126.0,2.0,0.0,1
528.262422252,3.832400000000002,6.0,2.0,2.0,2.0,111.79,3.0,7.0,5.0,3.0,204.0,2.0,0.0,1
401.25660860000005,2.932900000000002,3.0,2.0,1.0,0.0,86.63,3.0,5.0,4.0,3.0,160.0,2.0,0.0,1
418.12638228399993,3.217200000000002,3.0,0.0,0.0,3.0,105.82000000000002,1.0,9.0,9.0,1.0,160.0,7.0,0.0,1
408.1936739959999,5.5273000000000065,3.0,0.0,1.0,2.0,86.99,3.0,5.0,5.0,3.0,158.0,5.0,0.0,1
347.18852903999993,6.245820000000006,4.0,0.0,1.0,3.0,45.25,2.0,3.0,2.0,2.0,134.0,3.0,0.0,1
170.0579088,0.3381999999999999,1.0,0.0,1.0,0.0,55.760000000000005,1.0,4.0,4.0,1.0,66.0,2.0,0.0,1
372.15728848799995,4.251420000000004,3.0,0.0,1.0,2.0,85.22000000000001,2.0,6.0,6.0,2.0,144.0,4.0,0.0,1
364.071365944,2.6916000000000015,3.0,0.0,2.0,1.0,96.36000000000001,2.0,6.0,6.0,2.0,132.0,0.0,0.0,1
639.409480404,3.1524000000000054,1.0,0.0,1.0,0.0,139.83000000000004,0.0,12.0,9.0,0.0,258.0,6.0,0.0,1
316.058302724,2.291000000000001,3.0,0.0,0.0,3.0,120.36000000000001,4.0,7.0,7.0,4.0,118.0,2.0,0.0,1
384.230059504,4.269900000000003,3.0,2.0,0.0,1.0,63.6,1.0,4.0,4.0,1.0,152.0,7.0,0.0,1
290.079038168,2.48562,2.0,0.0,0.0,2.0,107.22000000000001,4.0,6.0,5.0,4.0,110.0,3.0,0.0,1
302.174275944,1.4847999999999997,2.0,0.0,1.0,1.0,86.88,3.0,6.0,3.0,3.0,118.0,4.0,0.0,1
641.321334096,3.1329000000000002,4.0,0.0,1.0,3.0,148.15,4.0,11.0,6.0,4.0,248.0,6.0,0.0,1
546.2114493,3.1963000000000017,6.0,0.0,3.0,3.0,131.27,1.0,11.0,10.0,1.0,208.0,4.0,0.0,1
314.151809184,3.835300000000003,2.0,0.0,0.0,2.0,59.67,1.0,4.0,4.0,1.0,122.0,6.0,0.0,1
374.136553044,1.8042999999999998,3.0,0.0,1.0,2.0,105.45,3.0,7.0,7.0,3.0,144.0,6.0,0.0,1
464.2198887439999,6.294700000000008,3.0,0.0,0.0,3.0,111.13,4.0,6.0,6.0,4.0,180.0,6.0,0.0,1
270.089208928,3.1127200000000013,3.0,0.0,1.0,2.0,66.75999999999999,2.0,4.0,4.0,2.0,102.0,1.0,0.0,1
312.15728848799995,1.2579999999999998,1.0,0.0,1.0,0.0,93.06000000000002,2.0,6.0,6.0,2.0,124.0,0.0,0.0,1
300.09977361200004,3.4300000000000024,3.0,0.0,0.0,3.0,68.15,2.0,5.0,5.0,2.0,114.0,3.0,0.0,1
340.1310737399999,4.018600000000003,3.0,0.0,1.0,2.0,86.99,3.0,5.0,5.0,3.0,130.0,3.0,0.0,1
414.1678531719999,4.822220000000006,3.0,0.0,1.0,2.0,91.29,1.0,7.0,7.0,1.0,160.0,5.0,0.0,1
356.162373868,4.136200000000004,2.0,0.0,0.0,2.0,86.99000000000001,3.0,5.0,5.0,3.0,138.0,7.0,0.0,1
344.089602852,2.897000000000001,3.0,0.0,0.0,3.0,98.36000000000001,2.0,7.0,7.0,2.0,130.0,4.0,0.0,1
347.18852904,6.2458200000000055,4.0,0.0,1.0,3.0,45.25,2.0,3.0,2.0,2.0,134.0,3.0,0.0,1
251.131014164,3.0587000000000018,2.0,0.0,0.0,2.0,29.1,1.0,2.0,1.0,1.0,96.0,5.0,0.0,1
314.079038168,2.8884000000000007,3.0,0.0,0.0,3.0,89.13,2.0,6.0,6.0,2.0,118.0,3.0,0.0,1
470.26683893599994,3.3529000000000018,6.0,4.0,2.0,0.0,96.36000000000001,2.0,6.0,6.0,2.0,186.0,3.0,0.0,1
290.115423676,2.4948000000000006,2.0,0.0,1.0,1.0,83.83,2.0,5.0,5.0,2.0,112.0,0.0,0.0,1
788.2011229199999,-4.890499999999984,6.0,0.0,3.0,3.0,368.81,14.0,22.0,22.0,14.0,304.0,10.0,0.0,1
258.089208928,2.985800000000001,3.0,0.0,1.0,2.0,48.67,0.0,4.0,4.0,0.0,98.0,1.0,0.0,1
366.167853172,1.1248999999999998,4.0,2.0,2.0,0.0,94.59,1.0,7.0,7.0,1.0,144.0,3.0,0.0,1
330.18310931199994,4.172000000000004,3.0,2.0,0.0,1.0,55.760000000000005,1.0,4.0,4.0,1.0,130.0,4.0,0.0,1
348.08451747199996,2.691920000000001,2.0,0.0,0.0,2.0,122.52000000000002,3.0,8.0,7.0,3.0,132.0,5.0,0.0,1
228.078644244,2.9772000000000016,3.0,0.0,1.0,2.0,39.44,0.0,3.0,3.0,0.0,86.0,0.0,0.0,1
402.13146766399996,3.5116000000000023,3.0,0.0,0.0,3.0,85.59000000000002,0.0,8.0,8.0,0.0,154.0,7.0,0.0,1
336.13615911999995,4.486520000000003,3.0,0.0,1.0,2.0,66.76,2.0,4.0,4.0,2.0,128.0,3.0,0.0,1
306.125594436,4.472500000000005,3.0,0.0,1.0,2.0,46.53,1.0,3.0,3.0,1.0,116.0,3.0,0.0,1
384.04733988400005,3.461520000000002,4.0,0.0,1.0,3.0,45.470000000000006,1.0,4.0,3.0,1.0,122.0,1.0,0.0,1
359.015705408,2.8861000000000008,3.0,0.0,1.0,2.0,57.61000000000001,1.0,4.0,3.0,1.0,112.0,3.0,0.0,1
369.230393852,4.714500000000005,4.0,4.0,0.0,0.0,58.89,1.0,4.0,4.0,1.0,146.0,2.0,0.0,1
344.25840574808996,4.465600000000005,4.0,1.0,2.0,1.0,18.46,0.0,3.0,2.0,0.0,138.0,4.0,0.0,1
352.9614946480001,5.060880000000003,3.0,0.0,1.0,2.0,41.61,0.0,3.0,5.0,0.0,106.0,2.0,0.0,1
313.167793596,2.979700000000001,2.0,0.0,0.0,2.0,58.56,2.0,4.0,4.0,2.0,122.0,8.0,0.0,1
412.130218212,4.506700000000004,3.0,0.0,0.0,3.0,81.27000000000001,0.0,7.0,6.0,0.0,150.0,8.0,0.0,1
398.144632692,2.49992,2.0,0.0,1.0,1.0,101.57000000000001,3.0,7.0,8.0,2.0,144.0,10.0,0.0,1
668.150621606,1.1044999999999991,7.0,1.0,4.0,2.0,207.35999999999999,4.0,16.0,14.0,4.0,250.0,7.0,0.0,1
388.12705098,2.1347999999999994,2.0,0.0,1.0,1.0,124.84,1.0,9.0,8.0,1.0,148.0,6.0,0.0,1
556.297093508,7.049000000000008,3.0,0.0,0.0,3.0,88.85000000000001,1.0,7.0,6.0,1.0,214.0,18.0,0.0,1
491.205635648,3.8203000000000022,4.0,0.0,2.0,2.0,111.00999999999999,1.0,9.0,8.0,1.0,188.0,7.0,0.0,1
470.25694294799996,6.331020000000006,5.0,0.0,1.0,4.0,57.86,2.0,5.0,5.0,2.0,182.0,7.0,0.0,1
785.456155824,2.4426000000000037,3.0,0.0,3.0,0.0,199.98,4.0,15.0,15.0,4.0,316.0,11.0,0.0,1
270.31552670009,5.7838000000000065,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,116.0,14.0,0.0,1
518.267981808,4.207600000000004,4.0,4.0,0.0,0.0,106.97000000000001,1.0,7.0,7.0,1.0,204.0,7.0,0.0,1
416.165997004,3.452200000000002,4.0,1.0,1.0,2.0,77.41000000000001,2.0,7.0,6.0,2.0,158.0,7.0,0.0,1
329.1088164760001,3.109800000000001,4.0,1.0,1.0,2.0,71.84,2.0,6.0,5.0,2.0,122.0,3.0,0.0,1
384.035622804,4.165100000000002,3.0,0.0,1.0,2.0,58.95,2.0,5.0,4.0,2.0,130.0,4.0,0.0,1
