ids,mols,y
356768.0,COC1=C(O)C=C2C=CC3=CC(OC)=C(OC)C(O)=C3C2=C1,-109.498
3519901.0,CC(C)=CCC1=C(O)C=C2OC(C3=CC=C(O)C=C3)CC(=O)C2=C1O,-90.9833
131673.0,COC1=C(C(CC(C)C)OC(C)=O)C=CC2=C1C(=O)OCC1=C(O2)C(O)=CC(C)=C1,-98.1005
10450920.0,COC1=C(C(=O)CCC2=CC=C(O)C=C2)C(O)=C(CC=C(C)C)C(O)=C1,-107.142
5281695.0,COC1=CC=C(C2=C(OC)C(=O)C3=C(O)C(OC)=C(O)C=C3O2)C=C1,-101.414
375151.0,CC(C)=CCCC1(C)C=CC2=C(O1)C(C)=CC1=C2NC2=C1C=CC(O)=C2,-108.754
795855.0,O=C(/C=C/C1=CC=CC=C1)NCCC1=CC=CC=C1,-92.8341
188323.0,COC1=C(OC)C(O)=C2C(=O)C=C(C3=CC=C(O)C=C3)OC2=C1,-86.2329
16745397.0,CC1=C(CO)C(=O)OC([C@@H](C)C2CC[C@H]3C4C[C@H]5O[C@]56[C@@H](O)C=CC(=O)[C@]6(C)C4CC[C@]23C)C1,-96.6024
14314897.0,CC1CCC/C=C/C(=O)C2=C(C=C(O)C=C2O)CC(=O)O1,-91.5178
16745399.0,O=C1C(OC2OC(CO)C(O)C(O)C2OC2OC(CO)C(O)C(O)C2OC2OC(CO)C(O)C(O)C2O)=C(C2=CC(O)=C(O)C=C2)OC2=CC(O)=CC(O)=C12,-77.2752
66548.0,COC1=C2C=CC(=O)OC2=CC2=C1C=CC(C)(C)O2,-83.9509
15571694.0,CC(=O)OC[C@]12CCC(C)=C[C@H]1O[C@@H]1[C@H](O)[C@@H](OC(C)=O)[C@@]2(C)[C@]12CO2,-96.39
5315483.0,COC1=CC(/C=C/C(=O)OC2CC3CCC2(C)C3(C)C)=CC=C1O,-96.658
3080568.0,COC(=O)C1=CC(O)=CC(OC)=C1OC1=CC(C)=CC(O)=C1C(=O)O,-99.1442
65188.0,CC1(C)C=CC2=C(C=C3OC(=O)C=CC3=C2)O1,-105.959
72344.0,COC1=C(OC)C=C(C2=CC(=O)C3=C(O2)C(OC)=C(OC)C(OC)=C3OC)C=C1,-77.0042
12560199.0,CC1=C(O)C(C(=O)/C=C/C2=CC=CC=C2)=C2OC(C)(C)C=CC2=C1O,-115.014
6283743.0,CC1(C)C=CC2=C(C=CC(C(=O)/C=C/C3=CC=CC=C3)=C2O)O1,-109.174
53383523.0,CC1=CC2=C(C(Br)=C1)N(C)C(=O)[C@@]2(O)C1=CN(C)C2=CC=CC=C21,-89.8182
2362557.0,CN1C(=O)[C@@](O)(CC(=O)C2=CC=CC=C2)C2=CC(Br)=CC=C21,-82.64299999999999
6540478.0,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,-98.4414
168884.0,C[N+]1(CC2COC(C3=CC=CC=C3)(C3CCCCC3)O2)CCCCC1,-99.5705
3003141.0,N#C/C(=C1/SC[C@@H](C2=C(Cl)C=C(Cl)C=C2)S1)N1C=CN=C1,-97.4831
5489012.0,COC1=CC=CC(C(=O)CCN[C@@H](C)[C@H](O)C2=CC=CC=C2)=C1,-82.9512
4514.0,CCN(CC)CC1=NC=CN1C1=CC=C([N+](=O)[O-])C=C1C(=O)C1=C(Cl)C=CC=C1,-83.5187
3002119.0,CC1=NC=C(CN(C=O)/C(C)=C(\CCO)SSCC2CCCO2)C(N)=N1,-86.3429
16052015.0,COC1=CC([C@@H]2C3=CC4=C(C=C3C(O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)C3COC(=O)[C@@H]32)OCO4)=CC(OC)=C1OP(=O)(O)O,-97.5142
2225.0,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)=O)C1C1=CC=CC=C1[N+](=O)[O-],-103.326
208898.0,CCCCC1=C(C(=O)C2=CC=C(OCCCN(CCCC)CCCC)C=C2)C2=C(C=CC(NS(C)(=O)=O)=C2)O1,-102.053
443868.0,COC(=O)C1=C(C)NC(C)=C(C(=O)O[C@H]2CCN(CC3=CC=CC=C3)C2)[C@H]1C1=CC([N+](=O)[O-])=CC=C1,-97.4307
154256.0,CC1=C(C2=CC=C(O)C=C2)N(CC2=CC=C(OCCN3CCCCCC3)C=C2)C2=C1C=C(O)C=C2,-79.3434
60196338.0,CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1O,-108.554
62581.0,CCCCCCCC[N+](C)(C)CCCCCCCC,-94.0613
71470.0,CCCC(=O)O[C@]1(C(=O)COC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,-95.5153
136153015.0,COC1=CC=C(CCNC(=O)C2=C3NC(=C4CC4)C=C(C(F)F)N3N=C2)C=C1OC,-102.699
136153020.0,O=C(NC1=CC=NC=C1)C1=C2NC(=C3CC3)C=C(C(F)F)N2N=C1,-90.1038
136153030.0,C=C1C=C(C(F)F)N2N=CC(C(=O)NCC3=CC=C(Cl)C=C3Cl)=C2N1,-105.632
136153031.0,C=C1C=C(C(F)F)N2N=CC(C(=O)NCCC3=C(OC)C=CC=C3)=C2N1,-93.9862
6855.0,O=C(OC1=CC=CC2=CC=CN=C21)C1=CC=CC=C1,-102.965
380099.0,COC1=C(OC)C=C(C2C3=CC4=C(C=C3OC3=C2C(=O)OC3)OCO4)C=C1,-75.4793
1201549.0,CN1[C@H]2CC[C@@H]1CC(OC(C1=CC=CC=C1)C1=CC=CC=C1)C2,-95.6001
6602565.0,C1=CC=C2C(=C1)N=C(N1CCCCC1)N=C2NCC1=CC=CO1,-97.6613
5770444.0,COC1=CC=C2NC3=C(N=NC(SCC4=NN=C(C5=CC=C(C)C=C5)O4)=N3)C2=C1,-87.7871
644407.0,CCOC1=C(C2CC(=O)NC3=CC4=C(C=C32)OCCO4)C=CC=C1,-124.59
54690395.0,CCCCN1C(=O)C(C(=O)NC2=NC=CN=C2)=C(O)C2=CC=CC=C21,-95.774
644466.0,N#CC1=C(N)N=C(C2=CC=C(F)C=C2)C=C1C1=CC=CO1,-86.1458
644507.0,O=C1OC2=CC(Br)=CC=C2N1CSC1=NCCS1,-87.7195
